"","cd_cvm","nome_companhia"
"417","022373","ELETROSOM S/A"
"418","020621","FERTILIZANTES HERINGER S.A. - EM RECUPERAÇÃO JUDICIAL"
"419","003158","CIA TECIDOS NORTE DE MINAS COTEMINAS"
"420","014133","TEC TOY S.A."
"421","018490","CLARION S/A AGROINDUSTRIAL"
"422","015300","RUMO MALHA NORTE S.A."
"423","011800","WEMBLEY SOCIEDADE ANÔNIMA"
"424","002062","CAFE SOLUVEL BRASILIA SA"
"425","015890","MERCANTIL DO BRASIL LEASING SA"
"426","022012","MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A."
"427","001155","BANESTES S.A. - BCO EST ESPIRITO SANTO"
"428","015342","EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A."
"429","020958","BCO ABC BRASIL S.A."
"430","012866","INDÚSTRIA VEROLME S.A. - IVESA"
"431","020508","TAIPE TRANCOSO EMPREENDIMENTOS S/A"
"432","012840","RIMET EMPREEND. INDS. E COMERCIAIS S/A"
"433","013781","SAO CARLOS EMPREEND E PARTICIPACOES S.A."
"434","021121","SUL AMERICA S.A."
"435","022616","BCO BTG PACTUAL S.A."
"436","013366","HAGA S.A. INDUSTRIA E COMERCIO"
"437","021377","BANCO INDUSTRIAL DO BRASIL"
"438","014010","PREDILETO ALIMENTOS SA"
"439","014710","SOLA SA INDS ALIMENTICIAS"
"440","021202","VIX LOGÍSTICA S/A"
"441","011320","TELEMAR NORTE LESTE SA"
"442","009512","PETROLEO BRASILEIRO S.A. PETROBRAS"
"443","004057","SOUZA CRUZ SA"
"444","008087","LOJAS AMERICANAS S.A."
"445","007811","JOAO FORTES ENGENHARIA S.A. - EM RECUPERAÇÃO JUDICIAL"
"446","008540","MERCANTIL BRASIL FINANC S.A. C.F.I."
"447","006505","VIA VAREJO S.A."
"448","004030","CIA SIDERURGICA NACIONAL"
"449","003050","AMPLA ENERGIA E SERVICOS S.A."
"450","003824","CIA PAULISTA DE FORCA E LUZ"
"451","008893","MONTEIRO ARANHA S.A."
"452","011207","TECNOSOLO ENGENHARIA S.A. - EMPRESA EM RECUPERAÇÃO JUDICIAL"
"453","020028","VALID SOLUÇÕES S.A."
"454","010596","SERGEN SERVS GERAIS DE ENG SA"
"455","006700","HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL"
"456","011070","WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A."
"457","018465","ULTRAPAR PARTICIPACOES S.A."
"458","016373","CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE"
"459","010880","SONDOTECNICA ENGENHARIA SOLOS S.A."
"460","009989","REFINARIA DE PETROLEOS MANGUINHOS S.A."
"461","003182","DOCAS INVESTIMENTOS SA"
"462","011231","TEKNO S.A. - INDUSTRIA E COMERCIO"
"463","003328","CIA HIDRO ELÉTRICA DO SÃO FRANCISCO"
"464","004170","VALE S.A."
"465","003980","GERDAU S.A."
"466","006696","HOTEIS E TURISMO GUANABARA SA"
"467","080128","LATAM AIRLINES GROUP S.A."
"468","016616","CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG"
"469","011592","UNIPAR CARBOCLORO S.A."
"470","001309","BCO MERCANTIL DE INVESTIMENTOS S.A."
"471","001724","BMG LEASING S.A. - ARREND. MERCANTIL"
"472","021172","AMIL PARTICIPAÇÕES S/A"
"473","017850","ALL - AMÉRICA LATINA LOGÍSTICA MALHA OESTE S.A."
"474","004820","BRASKEM S.A."
"475","020710","LOG-IN LOGISTICA INTERMODAL S.A."
